Producto,Cadereyta Precio por unidad,Cadereyta Cantidad ordenada,Coahuila Precio por unidad,Coahuila Cantidad ordenada,Durango Precio por unidad,Durango Cantidad ordenada,Expos F Precio por unidad,Expos F Cantidad ordenada,Laredo Precio por unidad,Laredo Cantidad ordenada,Monterrey Precio por unidad,Monterrey Cantidad ordenada,Online Precio por unidad,Online Cantidad ordenada,Queretaro Precio por unidad,Queretaro Cantidad ordenada,Reynosa Precio por unidad,Reynosa Cantidad ordenada,San Luis Precio por unidad,San Luis Cantidad ordenada,Fecha
Producto 9,0.0,0,0.0,0,0.0,0,0.0,0,10635.460000000001,3.5,9430.460000000001,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,11131.213333333333,10.5,0.0,0,11353.53,7,0.0,0,0.0,0,2022-04-03
Producto 11,0.0,0,3388.7999999999997,3.5,0.0,0,0.0,0,0.0,0,3193.4500000000003,3.5,0.0,0,3851.395,7,0.0,0,0.0,0,2022-04-03
Producto 12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3347.5839999999994,17.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 47,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5115.61,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 13,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5371.11,3.5,0.0,0,0.0,0,2022-04-03
Producto 28,0.0,0,7417.7,7,0.0,0,0.0,0,9149.77,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 29,0.0,0,8307.34,3.5,0.0,0,0.0,0,0.0,0,7249.089999999999,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 30,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6069.32,3.5,0.0,0,0.0,0,2022-04-03
Producto 16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7403.46,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 31,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7373.9800000000005,3.5,0.0,0,0.0,0,2022-04-03
Producto 17,0.0,0,0.0,0,0.0,0,0.0,0,12351.36,3.5,9396.44,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 48,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2629.31,3.5,0.0,0,0.0,0,2022-04-03
Producto 49,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,17210.79,3.5,0.0,0,2022-04-03
Producto 20,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,18046.79,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 22,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6849.650000000001,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 50,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7716.92,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 36,9654.89,3.5,0.0,0,0.0,0,0.0,0,0.0,0,9620.460000000001,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 51,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,12139.61,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 52,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2948.41,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 53,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5462.13,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 54,0.0,0,22749.600000000002,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 55,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,22761.52,3.5,0.0,0,0.0,0,2022-04-03
Producto 23,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,22688.81,7,0.0,0,0.0,0,0.0,0,24450.850000000002,3.5,2022-04-03
Producto 56,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,22722.585,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 57,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33835.439999999995,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 58,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7137.6449999999995,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 59,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9127.1,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13097.53,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-03
Producto 2,0.0,0,6188.45,3.5,0.0,0,0.0,0,0.0,0,5072.14,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5308.993333333334,10.5,0.0,0,5325.51,3.5,0.0,0,5325.51,3.5,2022-04-04
Producto 6,0.0,0,8534.83,3.5,0.0,0,0.0,0,0.0,0,7660.7,3.5,8417.01,3.5,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 7,5497.150000000001,3.5,0.0,0,0.0,0,0.0,0,0.0,0,5497.150000000001,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 8,0.0,0,7637.265,7,0.0,0,0.0,0,9606.679999999998,3.5,7900.660000000001,7,0.0,0,7292.926666666666,10.5,0.0,0,0.0,0,2022-04-04
Producto 9,0.0,0,8721.4,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,11165.615,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 11,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3033.7799999999997,3.5,3737.21,3.5,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 12,0.0,0,3951.19,7,0.0,0,0.0,0,0.0,0,3381.3999999999996,10.5,0.0,0,3747.715,7,0.0,0,3550.4700000000003,3.5,2022-04-04
Producto 13,0.0,0,6282.01,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 27,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3640.91,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 28,8113.099999999999,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 29,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7630.62,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 30,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4713.280000000001,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5699.89,7,0.0,0,0.0,0,0.0,0,6898.3099999999995,3.5,2022-04-04
Producto 31,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7664.339999999999,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9856.75,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 32,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1733.3700000000001,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 48,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2253.7000000000003,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 61,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2586.77,3.5,0.0,0,0.0,0,0.0,0,2022-04-04
